loss,n,k,N,seed,d,run_dir,best_margin_in_run
SigLIP,160,2,12720,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_30,0.11227751150727272
SigLIP,160,2,12720,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_5,-0.003133803606033325
SigLIP,180,2,16110,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_15,0.04127330146729946
SigLIP,180,2,16110,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_20,0.06487436592578888
SigLIP,180,2,16110,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_25,0.07937103137373924
SigLIP,180,2,16110,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_30,0.09840114414691925
SigLIP,180,2,16110,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_180_k_2_N_16110_seed_0/d_5,-0.003648132085800171
SigLIP,200,2,19900,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_15,0.037590453401207924
SigLIP,200,2,19900,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_20,0.05871986225247383
SigLIP,200,2,19900,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_25,0.0769922286272049
SigLIP,200,2,19900,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_30,0.09389794617891312
SigLIP,200,2,19900,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_200_k_2_N_19900_seed_0/d_5,-0.003783673048019409
SigLIP,20,2,190,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_15,0.1987481564283371
SigLIP,20,2,190,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_20,0.28976400196552277
SigLIP,20,2,190,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_25,0.2900610864162445
SigLIP,20,2,190,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_30,0.29006317257881165
SigLIP,20,2,190,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_5,-5.1787676056846976e-05
